citation,text
BGE 145 I 167 E. 4.1,"Le droit d'être entendu garanti par l'art. 29 al. 2 Cst. comprend notamment le droit pour l'intéressé de s'exprimer sur les éléments pertinents avant qu'une décision ne soit prise touchant sa situation juridique, d'avoir accès au dossier, de produire des preuves pertinentes, d'obtenir qu'il soit donné suite à ses offres de preuves pertinentes, de participer à l'administration des preuves essentielles ou à tout le moins de s'exprimer sur son résultat, lorsque cela est de BGE 145 I 167 S. 171 nature à influer sur la décision à rendre (ATF 142 III 48 consid. 4.1.1 p. 52 ss; ATF 140 I 285 consid. 6.3.1 p. 298 s. et les arrêts cités). L'autorité peut cependant renoncer à procéder à des mesures d'instruction lorsque les preuves administrées lui ont permis de former sa conviction et que, procédant d'une manière non arbitraire à une appréciation anticipée des preuves qui lui sont encore proposées, elle a la certitude que ces dernières ne pourraient l'amener à modifier son opinion (ATF 140 I 285 consid. 6.3.1 p. 299 et les arrêts cités). Le droit d'être entendu se rapporte surtout à la constatation des faits. Le droit des parties d'être interpellées sur des questions juridiques n'est reconnu que de manière restreinte (arrêt 4A_525/2017 du 9 août 2018 consid. 3.1), lorsque l'autorité concernée entend se fonder sur des normes légales dont la prise en compte ne pouvait pas être raisonnablement prévue par les parties, lorsque la situation juridique a changé ou lorsqu'il existe un pouvoir d'appréciation particulièrement large (AUER/MALINVERNI/HOTTELIER, Droit constitutionnel suisse, vol. II, 3e éd. 2013, n. 1336). Le droit d'être entendu ne porte en principe pas sur la décision projetée (ATF 132 II 257 consid. 4.2 p. 267; arrêts 2C_21/2013 du 5 juillet 2013 consid. 3.1; 2P.33/2006 du 18 avril 2007 consid. 2.1). L'autorité n'a donc pas à soumettre par avance aux parties, pour prise de position, le raisonnement qu'elle entend tenir. Cependant, lorsqu'elle envisage de fonder sa décision sur une norme ou un motif juridique non évoqué dans la procédure antérieure et dont aucune des parties en présence ne s'est prévalue et ne pouvait supputer la pertinence, le droit d'être entendu implique de donner au justiciable la possibilité de se déterminer à ce sujet (ATF 131 V 9 consid. 5.4.1 p. 26; ATF 128 V 272 consid. 5b/bb p. 278; arrêt 2C_356/2017 du 10 novembre 2017 consid. 4.3 et les références). Dans le cadre d'une procédure législative, c'est-à-dire dans une procédure qui conduit à l'adoption de normes générales et abstraites, la Constitution fédérale ne confère pas aux citoyens le droit d'être entendus (ATF 137 I 305 consid. 2.4 p. 315 et les arrêts cités). Selon la jurisprudence, une exception n'est admise que lorsque certaines personnes (destinataires dits ""spéciaux"") sont touchées de façon sensiblement plus grave que le plus grand nombre des destinataires ""ordinaires"", par exemple lorsqu'un décret de portée générale ne touche concrètement qu'un très petit nombre de propriétaires (ATF 134 I 269 consid. 3.3.1 p. 274; ATF 121 I 230 consid. 2c p. 232 s.; ATF 119 Ia 141 consid. 5 p. 149 ss; arrêt 1C_333/2015 du 24 mai 2016 consid. 3.1). BGE 145 I 167 S. 172"
BGE 142 III 48 E. 4.1.1,"Compris comme l'un des aspects de la notion générale de procès équitable au sens de l'art. 29 Cst., le droit d'être entendu garantit notamment au justiciable le droit de s'expliquer avant qu'une BGE 142 III 48 S. 53 décision ne soit prise à son détriment, d'avoir accès au dossier, de prendre connaissance de toute argumentation présentée au tribunal et de se déterminer à son propos, dans la mesure où il l'estime nécessaire, que celle-ci contienne ou non de nouveaux éléments de fait ou de droit, et qu'elle soit ou non concrètement susceptible d'influer sur le jugement à rendre (ATF 139 II 489 consid. 3.3 p. 496; ATF 139 I 189 consid. 3.2 p. 191 s.; ATF 138 I 484 consid. 2.1 p. 485 s.; ATF 138 I 154 consid. 2.3.3 p. 157; ATF 137 I 195 consid. 2.3.1 p. 197). En procédure civile, le droit d'être entendu trouve son expression à l'art. 53 al. 1 CPC, qui reprend la formulation générale de l'art. 29 al. 2 Cst. (arrêt 5A_350/2013 du 8 juillet 2013 consid. 2.1.1, in FamPra.ch 2013 p. 1034); il confère à toute partie, parmi d'autres prérogatives, de prendre position sur toutes les écritures de la partie adverse (ATF 138 I 484 consid. 2 p. 485; ATF 138 I 154 consid. 2.3.3 p. 157; voir aussi ATF 139 I 189 consid. 3.2 p. 191/192). Outre à l'art. 53 CPC, le droit d'être entendu trouve sa consécration dans diverses dispositions du Code. Il en va ainsi du droit de répondre, que ce soit à une demande principale (art. 222 CPC) ou reconventionnelle (art. 224 al. 3 in initio CPC), ou encore dans la procédure de recours (art. 312 et 322 CPC), et du droit de répliquer (p. ex. GEHRI, in Basler Kommentar, Schweizerische Zivilprozessordnung, 2e éd. 2013, n° 5 ad art. 53 CPC; JEANDIN, in CPC, Code de procédure civile commenté, 2011, n° 1 ad art. 312 CPC; STERCHI, in Berner Kommentar, Schweizerische Zivilprozessordnung, vol. II, 2012, n° 2 ad art. 312 CPC). Si le droit de répondre et celui de répliquer ont le même fondement, ils divergent néanmoins sur deux points. Premièrement, le droit de répondre s'exerce contre une demande (principale ou reconventionnelle), un appel (principal ou joint) ou un recours. En revanche, le droit de répliquer vise le droit conféré à la partie de se déterminer sur ""toute prise de position"" versée au dossier, quelle que soit sa dénomination procédurale (réponse, réplique, prise de position, etc.; ATF 133 I 100 consid. 4.5, ATF 133 I 98 consid. 2.2; ATF 132 I 42 consid. 3.3.2-3.3.4); même si le juge renonce à ordonner un nouvel échange d'écritures, il doit néanmoins transmettre cette prise de position aux autres parties (ATF 139 I 189 consid. 3.2; ATF 138 I 484 consid. 2.2; arrêts 2C_560/2012 du 21 janvier 2013 consid. 4.3, in RF 68/2013 p. 405; 5A_535/2012 du 6 décembre 2012 consid. 2.3; 5A_779/2010 du 1er avril 2011 consid. 2.2, in Pra 2012 n. 1 p. 1). Secondement, le juge BGE 142 III 48 S. 54 doit fixer un délai (ou impartir le délai légal) à la partie adverse pour déposer sa réponse (art. 222 al. 1, 224 al. 3, 253, 312 [qui s'applique par analogie à l'appel joint, cf. ATF 138 III 568 consid. 3] et 322 CPC). En revanche, le droit de répliquer n'impose pas à l'autorité judiciaire l'obligation de fixer un délai à la partie pour déposer d'éventuelles observations. Elle doit seulement lui laisser un laps de temps suffisant, entre la remise des documents et le prononcé de sa décision, pour qu'elle ait la possibilité de déposer des observations si elle l'estime nécessaire (ATF 138 I 484 consid. 2.4; arrêt 2C_560/2012 du 21 janvier 2013 consid. 4.4 et les références, in RF 68/2013 p. 405)."
BGE 139 III 305 E. 5,"Für den Fall, dass ein Erwerb von einem Nichtberechtigten vorliege, ist das Obergericht zum Schluss gekommen, dass der Beschwerdegegner den Rechtsmangel weder kannte noch kennen musste. Die getroffenen Vorsichtsmassnahmen hat es als genügend erachtet. BGE 139 III 305 S. 312"
BGE 145 IV 99 E. 3.1,"Der in Art. 29 Abs. 2 BV grundrechtlich verankerte Anspruch auf rechtliches Gehör wird im schweizerischen Rechtshilfeverfahren durch Art. 80b IRSG (SR 351.1) und Art. 26 ff. VwVG (SR 172.021) (i.V.m. Art. 12 Abs. 1 IRSG) konkretisiert (Urteil des Bundesgerichtes 1A.57/2007 vom 24. September 2007 E. 2.1; vgl. DANGUBIC/KESHELAVA, in: Basler Kommentar, Internationales Strafrecht, 2015, N. 4 zu Art. 12 IRSG; HEIMGARTNER/NIGGLI, ebenda, N. 1 zu Art. 80b IRSG; ROBERT ZIMMERMANN, La coopération judiciaire internationale en matière pénale, 4. Aufl. 2014, Rz. 472, 487). Die mit der Rechtshilfesache befasste Behörde hört die Parteien an, bevor sie entscheidet (Art. 30 Abs. 1 VwVG). Die Behörde würdigt, bevor sie verfügt, alle erheblichen und rechtzeitigen Vorbringen der Parteien (Art. 32 Abs. 1 VwVG). Rechtshilfe- und Beschwerdeentscheide betreffend Schlussverfügungen sind schriftlich zu eröffnen (Art. 34 Abs. 1 VwVG i.V.m. Art. 12 Abs. 1, Art. 80d und Art. 80m IRSG). Die Entscheide sind zu begründen und mit einer Rechtsmittelbelehrung zu versehen (Art. 35 Abs. 1 VwVG; vgl. DANGUBIC/KESHELAVA, a.a.O., N. 4 zu Art. 12 IRSG; ZIMMERMANN, a.a.O., Rz. 486). Auf eine schriftliche Begründung kann die verfügende Behörde nur verzichten, wenn sie den Begehren der Parteien voll entspricht und keine Partei eine Begründung verlangt (Art. 35 Abs. 3 VwVG). Bei Rechtshilfeentscheiden, die besonders stark in die Rechtsstellung der Betroffenen eingreifen, ist grundsätzlich eine vertiefte Auseinandersetzung mit den Parteivorbringen erforderlich (Urteil 1A.132/2005 BGE 145 IV 99 S. 109 vom 4. Juli 2005 E. 5.1; s.a. BGE 139 II 179 E. 2.2-2.7 S. 183-186; BGE 112 Ia 107 E. 2b S. 110). Die Herausgabe von Vermögenswerten zur Einziehung (nach Art. 74a IRSG) bewirkt in der Regel einen schweren Eingriff in die Grundrechte der Betroffenen (vgl. BGE 123 II 595 E. 4e S. 604; BGE 115 Ib 517 E. 14 S. 556 f.; Urteil 1A.53/2007 vom 11. Februar 2008 E. 4.3; MICHAEL AEPLI, in: Basler Kommentar, Internationales Strafrecht, 2015, N. 5 zu Art. 74a IRSG; ZIMMERMANN, a.a.O., Rz. 336 ff.; s.a. BGE 136 IV 4 ff.; BGE 133 IV 215 ff.; BGE 131 II 169 ff.; BGE 129 II 453 ff.). Der Anspruch auf rechtliches Gehör verlangt schon von Verfassungs wegen (Art. 29 Abs. 2 BV), dass die Justizbehörde die Vorbringen der Parteien auch tatsächlich hört, prüft und in der Entscheidfindung berücksichtigt; daraus folgt insbesondere die Verpflichtung der Behörde, ihren Entscheid ausreichend und nachvollziehbar zu begründen (BGE 142 III 433 E. 4.3.2 S. 436; BGE 141 III 28 E. 3.2.4 S. 41; BGE 141 V 557 E. 3.2.1 S. 564 f.; BGE 138 I 232 E. 5.1 S. 237; je mit Hinweisen; vgl. auch ZIMMERMANN, a.a.O., Rz. 486). Falls sich in einem hängigen Verfahren entscheiderhebliche, neue tatsächliche oder rechtliche Gesichtspunkte ergeben, denen die mit der Sache befasste Justizbehörde Rechnung tragen will, kann der Anspruch auf rechtliches Gehör in begründeten Fällen auch gebieten, die Parteien auf diese neuen Prüfungsgesichtspunkte rechtzeitig aufmerksam zu machen und ihnen Gelegenheit zu geben, sich dazu zu äussern (vgl. z.B. Art. 344 StPO, dazu Urteil 6B_335/2017 vom 24. April 2018 E. 4 sowie BGE 126 I 19 E. 2c-d S. 22-24; zum Spezialfall der ""Substitution"" von Haftgründen im hängigen Verfahren s.a. MARC FORSTER, in: Basler Kommentar, Schweizerische Strafprozessordnung, 2. Aufl. 2014, N. 4 zu Art. 226 StPO; HUG/SCHEIDEGGER, in: Kommentar zur Schweizerischen Strafprozessordnung [StPO], Donatsch und andere[Hrsg.], 2. Aufl. 2014, N. 8 zu Art. 226 StPO; DANIEL LOGOS, in: Commentaire romand, Code de procédure pénale suisse, 2011, N. 11 zu Art. 226 StPO). Das rechtliche Gehör ist jedenfalls zu gewähren, wenn eine Behörde ihren Entscheid mit einer Rechtsnorm oder einem Rechtsgrund zu begründen beabsichtigt, die im bisherigen Verfahren nicht beigezogen wurden, auf die sich die beteiligten Parteien nicht berufen haben und mit deren Erheblichkeit sie im konkreten Fall nicht rechnen konnten (BGE 128 V 272 E. 5b/bb S. 278; BGE 125 V 368 E. 4a S. 370; BGE 124 I 49 E. 3c S. 52; BGE 115 Ia 94 E. 1b S. 96 f.; BGE 114 Ia 97 E. 2a S. 99; je mit Hinweisen). BGE 145 IV 99 S. 110 Art. 9 BV gewährleistet ausserdem jeder Person den Anspruch darauf, von den staatlichen Organen ohne Willkür und nach Treu und Glauben behandelt zu werden."
BGE 148 V 21 E. 5.3,"En l'absence de dispositions transitoires, l'art. 21 LPC s'applique immédiatement, dès le jour de son entrée en vigueur aux organes chargés de recevoir et d'examiner les demandes, puis de fixer et de verser les prestations (cf. ATF 142 V 67 consid. 3.1; ATF 129 V 115 consid. 2.2 et les arrêts cités; cf. aussi arrêt 9C_972/2009 du 21 janvier 2011 consid. 2.2). Selon une jurisprudence constante, le juge apprécie la légalité des décisions attaquées, en règle générale, d'après l'état de fait existant au moment où la décision sur opposition litigieuse a été rendue (ATF 131 V 242 consid. 2.1 p. 243; ATF 121 V 362 consid. 1b p. 366). Les règles applicables sont celles en vigueur au moment où les faits juridiquement déterminants se sont produits. Par conséquent, pour le tribunal chargé de statuer sur une cause pendante au 1er janvier 2021, il s'agit d'appliquer le droit (matériel) en vigueur au moment du déroulement des faits juridiquement déterminants (ATF 136 V 24 consid. 4.3 p. 27; ATF 130 V 445 consid. 1.2.1 p. 447), étant précisé que le juge n'a pas à prendre en considération les modifications de droit ou de l'état de fait postérieures à la date déterminante de la décision litigieuse (ATF 129 V 1 consid. 1.2 p. 4). La juridiction cantonale aurait par conséquent été tenue d'appliquer l'ancien art. 21 al. 1 LPC. Toutefois, comme le relèvent tant les parties que l'OFAS, la question du droit applicable n'a en l'espèce pas d'incidence concrète sur l'issue du litige. Dans sa nouvelle teneur, l'art. 21 al. 1 à al. 1quater LPC reprend pour l'essentiel la jurisprudence du Tribunal fédéral rendue à propos de l'art. 21 al. 1 LPC dans sa teneur en vigueur jusqu'au 31 décembre 2020, comme il ressort des considérations qui suivent."
BGE 139 IV 179 E. 2.2,"La jurisprudence a déduit du droit d'être entendu (art. 29 al. 2 Cst., art. 3 al. 2 let. c CPP) l'obligation pour le juge de motiver ses décisions afin que le justiciable puisse les comprendre et exercer ses droits de recours à bon escient. Le juge doit ainsi mentionner, au moins brièvement, les motifs qui l'ont guidé et sur lesquels il a fondé sa décision, de manière à ce que l'intéressé puisse se rendre compte de la portée de celle-ci et l'attaquer en connaissance de cause. Il n'a toutefois pas l'obligation d'exposer et de discuter tous les faits, moyens de preuve et griefs invoqués par les parties, mais peut au contraire se limiter à l'examen des questions décisives pour l'issue du litige (ATF 134 I 83 consid. 4.1 p. 88 et les arrêts cités)."
BGE 139 IV 186 E. 2,"Une mesure de détention préventive n'est compatible avec la liberté personnelle (art. 10 al. 2 Cst. et art. 5 CEDH) que si elle repose sur une base légale (art. 31 al. 1 et art. 36 al. 1 Cst.). Elle doit en outre correspondre à un intérêt public et respecter le principe de la proportionnalité (art. 36 al. 2 et 3 Cst.; ATF 123 I 268 consid. 2c p. 270). Pour que tel soit le cas, la privation de liberté doit être justifiée par les besoins de l'instruction, un risque de fuite ou un danger de BGE 139 IV 186 S. 188 collusion ou de réitération (cf. art. 221 al. 1 let. a, b et c CPP). Préalablement à ces conditions, il doit exister à l'égard de l'intéressé des charges suffisantes, soit de sérieux soupçons de culpabilité (art. 221 al. 1 CPP; art. 5 par. 1 let. c CEDH; arrêt 1B_63/2007 du 11 mai 2007 consid. 3, non publié in ATF 133 I 168)."
BGE 139 IV 270 E. 3.1,"En vertu des art. 31 al. 3 Cst. et 5 par. 3 CEDH, toute personne qui est mise en détention préventive a le droit d'être jugée dans un délai raisonnable ou d'être libérée pendant la procédure pénale. Une durée excessive de la détention constitue une limitation disproportionnée de ce droit fondamental, qui est notamment violé lorsque la durée de la détention préventive dépasse la durée probable de la peine privative de liberté à laquelle il faut s'attendre. L'art. 212 al. 3 CPP prévoit ainsi que la détention provisoire ou pour des motifs de sûreté ne doit pas durer plus longtemps que la peine privative de liberté prévisible. Le juge peut dès lors maintenir la détention préventive aussi longtemps qu'elle n'est pas très proche de la durée de la peine privative de liberté à laquelle il faut s'attendre concrètement en cas de condamnation (ATF 133 I 168 consid. 4.1 p. 170; ATF 132 I 21 consid. 4.1 p. 27; ATF 107 Ia 256 consid. 2 et 3 p. 257 ss et les références). Il convient d'accorder une attention particulière à cette limite, car le juge - de première instance ou d'appel - pourrait être enclin à prendre en considération dans la fixation de la peine la durée de la détention préventive à imputer selon l'art. 51 CP (ATF 133 I 168 consid. 4.1 p. 170 et les arrêts cités). Selon une jurisprudence constante, la possibilité d'un sursis, voire d'un sursis partiel, n'a en principe pas à être prise en considération dans l'examen de la proportionnalité de la détention préventive (ATF 133 I 270 consid. 3.4.2 p. 281 et 282; ATF 125 I 60; arrêt 1B_750/2012 du 16 janvier 2013 consid. 2). Toutefois, lorsque le détenu a déjà été jugé en première instance, ce prononcé constitue un indice important quant à la peine susceptible de devoir être finalement exécutée. Même s'il n'a en principe pas à examiner en détail le bien-fondé du jugement et de la quotité de la peine prononcée en première instance, le juge de la détention, saisi en application des art. 231 ss CPP, ne peut faire abstraction de l'existence d'un appel du Ministère public tendant à une aggravation de la peine, et doit dès lors examiner prima facie les chances de succès d'une telle démarche. Le maintien en détention ne saurait être limité aux seuls cas où il existerait sur ce point une vraisemblance confinant à la certitude. L'art. 231 CPP BGE 139 IV 270 S. 276 ne pose d'ailleurs pas une telle condition pour le maintien en détention (arrêt 1B_43/2013 du 1er mars 2013 consid. 4.1 et les arrêts cités). Dès lors, par analogie avec la notion de ""forts soupçons"" au sens de l'art. 221 al. 1 CPP, il y a lieu de déterminer, sur le vu de l'ensemble des circonstances pertinentes, soit en particulier compte tenu des considérants du jugement de première instance et des arguments soulevés à l'appui du recours, si la démarche de l'accusation est susceptible d'aboutir, avec une vraisemblance suffisante, à une aggravation de la sanction (arrêt 1B_43/2013 du 1er mars 2013 consid. 4.1 et les arrêts cités)."
BGE 139 V 176 E. 5.3,"Dans le domaine des assurances sociales, le juge fonde généralement sa décision sur les faits qui, faute d'être établis de manière irréfutable, apparaissent comme les plus vraisemblables, c'est-à-dire qui présentent un degré de vraisemblance prépondérante. Il ne suffit donc pas qu'un fait puisse être considéré seulement comme une hypothèse possible; la vraisemblance prépondérante suppose que, d'un point de vue objectif, des motifs importants plaident pour l'exactitude d'une allégation, sans que d'autres possibilités ne revêtent une importance significative ou n'entrent raisonnablement en considération ( ATF 135 V 39 consid. 6.1 p. 45 et les références; voir également arrêt 9C_717/2009 du 20 octobre 2009 consid. 3.3). (...)"
BGE 139 V 399 E. 5.3,"Est réputé invalide au sens de l'art. 17 LAI celui qui n'est pas suffisamment réadapté, l'activité lucrative exercée jusque-là n'étant plus raisonnablement exigible ou ne l'étant plus que partiellement en raison de la forme et de la gravité de l'atteinte à la santé. Le seuil minimum fixé par la jurisprudence pour ouvrir droit à une mesure de reclassement est une diminution de la capacité de gain de 20 % environ (ATF 130 V 488 consid. 4.2 p. 489 et les références)."
